doc_id,title,source_org,url,file_type,version_label,notes
pu-semester-rules-ug,University of the Punjab Semester Rules & Regulations,PU,https://pu.edu.pk/puac/download/Semester_Rules.pdf,pdf,current,Attendance/grading/probation/promotion/examination rules
pu-semester-rules-affiliated,PU Semester Rules & Regulations for Affiliated Colleges,PU,https://pu.edu.pk/puac/download/Flax-Affiliated-Colleges.pdf,pdf,current,Affiliated-college semester system rules
pu-semester-rules-law-pharmacy,PU Semester Rules for LAW & Pharmacy Programs,PU,https://pu.edu.pk/puac/download/Flax-LAW-PHARMACY.pdf,pdf,current,Program-specific semester rules
pu-admission-regulations,PU Admission Regulations Book,PU,https://pu.edu.pk/downloads/Admission-Regulations-Book.pdf,pdf,current,Consolidated admission regulations
pu-admission-rules,PU Admission Rules (Affiliated Colleges),PU,https://pu.edu.pk/puac/download/AdmissionRules.pdf,pdf,current,Admission rules via affiliation cell
pu-affiliation-statutes,PU Affiliation Statutes,PU,https://pu.edu.pk/puac/download/Affiliation-Statutes.pdf,pdf,current,Statutes governing college affiliation
pu-sops-llb-5years,PU SOPs for LLB 5-Year Program,PU,https://pu.edu.pk/puac/download/SOPs-for-LLB-5Years.pdf,pdf,current,LLB 5-year program SOPs
pu-exams-schedule,PU Examinations Schedule (Affiliated Colleges),PU,https://pu.edu.pk/puac/download/Exams-Schedule.pdf,pdf,current,Exam scheduling rules
pu-affiliation-notice-2026-27,PU Affiliation Notice for Session 2026-2027,PU,https://pu.edu.pk/puac/img/Affiliation-Notice-for-the-Session-2026-2027.pdf,pdf,2026-27,Affiliation requirements notice
pu-act-1973,University of the Punjab Act 1973,PU,https://pu.edu.pk/images/image/PU-act-1973.pdf,pdf,1973,Governing act of the university
pu-psu-amendment-act-2012,Public Sector Universities (Amendment) Act 2012,PU,https://pu.edu.pk/images/image/The-Public-Sector-Universities-Amendment-Act-2012.pdf,pdf,2012,Amendment to public sector universities act
pu-honorary-degree-guidelines,PU Guidelines and Procedure for Conferment of Honorary Degree,PU,https://pu.edu.pk/downloads/Guidelines%20and%20Procedure%20for%20Conferment%20of%20Honorary%20Degree.pdf,pdf,current,Honorary degree procedure
pu-fee-schedule-2025-26,PU Dues & Fee Schedule FY2025-26,PU,https://pu.edu.pk/downloads/Dues-Fee-Schedule-for-the-Financial-Year-2025-26.pdf,pdf,2025-26,University-wide dues/fee tables
pu-fee-schedule-ug-2025,PU Dues & Fee Schedule (Undergraduate) 2025,PU,https://pu.edu.pk/downloads/Dues-Fee-Schedule-Undergraduate-PU-Students_2025.pdf,pdf,2025,Undergraduate program-wise fees
pu-fee-schedule-grad-2025,PU Dues & Fee Schedule (MS/MPhil/PhD) 2025,PU,https://pu.edu.pk/downloads/Dues-Fee-Schedule-MS-MPhil-PhD_2025.pdf,pdf,2025,Graduate program-wise fees
pu-eligibility-criteria-2026-27,PU Instructions & Eligibility Criteria for Admission 2026-27,PU,https://pu.edu.pk/images/image/Admission-Notices/Instructions-Eligibility-Criteria-2026-27.pdf,pdf,2026-27,Admission eligibility criteria
pu-merit-last-year-2025,PU Closing Merit of Last Year 2025,PU,https://pu.edu.pk/downloads/Merit-of-Last-Year-2025.pdf,pdf,2025,Program-wise closing merit
pu-online-admission-manual,PU Instruction Manual for Online Admission,PU,https://pu.edu.pk/downloads/Instruction-Manual-Online-Admission.pdf,pdf,current,Online admission application walkthrough
pu-faqs,PU Frequently Asked Questions,PU,https://pu.edu.pk/downloads/faqs.pdf,pdf,current,Student FAQ booklet
pu-e-brochure,PU E-Brochure (Programs Offered),PU,https://pu.edu.pk/downloads/E-Brochure.pdf,pdf,current,"Programs, departments, durations"
pu-regs-ba-bsc-exams,PU Regulations for BA/BSc Examinations,PU,https://pu.edu.pk/images/image/Student-Information/BA-BSc-Examinations.pdf,pdf,current,BA/BSc exam regulations
pu-regs-ba-bsc-split,PU Regulations for BA/BSc Part-I/Part-II Split Program,PU,https://pu.edu.pk/images/image/Student-Information/BA-BSc-PI-PII-Split-Program.pdf,pdf,current,Split program rules
pu-regs-bachelor-degree,PU Regulations for Bachelor Degree,PU,https://pu.edu.pk/images/image/Student-Information/Bachelor-Degree.pdf,pdf,current,Bachelor degree regulations
pu-regs-double-degree,PU Regulations for Double Degree,PU,https://pu.edu.pk/images/image/Student-Information/Double-Degree.pdf,pdf,current,Simultaneous/second degree rules
pu-regs-llb-part1-exam,PU Regulations for LLB Part-I Examination,PU,https://pu.edu.pk/images/image/Student-Information/LLB-PI-Examination.pdf,pdf,current,LLB Part-I exam regulations
pu-regs-mba,PU Regulations for MBA,PU,https://pu.edu.pk/images/image/Student-Information/MBA.pdf,pdf,current,MBA program regulations
pu-regs-mba-affiliated,PU Regulations for MBA in Affiliated Colleges,PU,https://pu.edu.pk/images/image/Student-Information/MBA-Affiliated-Colleges.pdf,pdf,current,MBA affiliated-college regulations
pu-regs-ma-msc-exams,PU Regulations Pertaining to MA/MSc Examinations,PU,https://pu.edu.pk/images/image/Student-Information/Regulations-Pertaining-MA-MSc-Examinations.pdf,pdf,current,MA/MSc exam regulations
pu-regs-termination-of-lien,PU Regulations on Termination of Lien,PU,https://pu.edu.pk/images/image/Student-Information/Terminination-of-Lien.pdf,pdf,current,Lien termination rules
pu-scholarship-bait-ul-mal,Pakistan Bait-ul-Mal Scholarship (PU),PU,https://pu.edu.pk/images/image/Scholarships/Pakistan%20Bait%20ul%20Mal%20Scholarship.pdf,pdf,current,Need-based scholarship criteria
pu-scholarship-momina-cheema,Momina Cheema Foundation Need-Based Scholarship Eligibility (PU),PU,https://pu.edu.pk/images/image/Scholarships/Momina%20Cheema%20Foundation%20Need%20Based%20Scholarship%20(Eligibility%20Criteria).pdf,pdf,current,Need-based scholarship eligibility
pu-overseas-phd-scholarships,PU Overseas PhD Scholarships for In-Service Non-PhD Teachers,PU,https://pu.edu.pk/downloads/Overseas-PhD-Scholarships-PU-in-Service-Non-PhD-Teachers_15-01-25.pdf,pdf,2025,Overseas PhD scholarship criteria
hec-plagiarism-policy,HEC Plagiarism Policy,HEC,https://www.hec.gov.pk/english/policies/Documents/Plagiarism-Policy.pdf,pdf,current,"Plagiarism definitions, penalties, procedure"
